ishitId,ExternalCameraId,Name,cameraType,brigadeName,siteName,x,y,Source
11912,35_81,ל\מכיוון פדואל (5 מגה)(נתיקות),LPR,חטמר אפרים,בולם 50 ,35.040403,32.063814,נתיקות - הרכשה
11659,35_82,לכיוון דיר בלוט (5 מגה)(נתיקות),LPR,חטמר אפרים,בולם 50 ,35.040403,32.063814,נתיקות - הרכשה
11660,35_83,לכיוון ראפאת (5 מגה)(נתיקות),LPR,חטמר אפרים,בולם 50 ,35.040403,32.063814,נתיקות - הרכשה
12372,5129_92,הציר המערבי של דיר אבו משעל (5 מגה)(נתיקות),LPR,חטמר אפרים,בולם 6,35.05289,31.989138,נתיקות - הרכשה
12371,5129_91,ציר מכשף דרומה (5 מגה)(נתיקות),LPR,חטמר אפרים,בולם 6,35.05288983,31.98913766,נתיקות - הרכשה
12322,4116_92,כניסה ויציאה מהכפר (5 מגה)(נתיקות),LPR,חטמר אפרים,ג'ינספוט דרומי,35.134424,32.179187,נתיקות - הרכשה
12321,4116_91,לכיוון עמנואל 2 כיווני נסיעה (5 מגה)(נתיקות),LPR,חטמר אפרים,ג'ינספוט דרומי,35.134424,32.179187,נתיקות - הרכשה
12354,125_91,המגיעים ממזרח (9 מגה)(נתיקות),LPR,חטמר אפרים,ג'ינספוט מערב,35.128498,32.184013,נתיקות - הרכשה
12336,548_92,כניסה\יציאה מג'מעאין (5 מגה)(נתיקות),LPR,חטמר אפרים,ג'מעאין,35.134424,32.179187,נתיקות - הרכשה
12323,548_91,נוסעים לכיוון אריאל\תפוח (5 מגה)(נתיקות),LPR,חטמר אפרים,ג'מעאין,35.202949,32.121854,נתיקות - הרכשה
11658,580_92,הגעה מחירבת סיר (3 מגה)(נתיקות),LPR,חטמר אפרים,גשר אתונות (36),35.05473,32.1831,נתיקות - הרכשה
11657,580_91,לכיוון חירבת סיר (3 מגה)(נתיקות),LPR,חטמר אפרים,גשר אתונות (36),35.05473,32.1831,נתיקות - הרכשה
11653,135_82,יציאה לכביש 5 מזרח (5 מגה)(נתיקות),LPR,חטמר אפרים,גשר ברקן ,35.1269,32.104,נתיקות - הרכשה
11654,135_81,יציאה לכביש 5 מערב (5 מגה)(נתיקות),LPR,חטמר אפרים,גשר ברקן ,35.1269,32.104,נתיקות - הרכשה
11644,9167_91,לכיוון מסחה (3 מגה)(נתיקות),LPR,חטמר אפרים,גשר זאוויה ,35.04818,32.10277,נתיקות - הרכשה
12158,LPR-HIK-SHY-31,גשר חבלה לצפון/ לדרום,LPR,חטמר אפרים,גשר חבלה,34.975579,32.174385,משטרה - הרכשה
11676,236_81,מ\לדיר בלוט (3 מגה)(נתיקות),LPR,חטמר אפרים,כיכר אלימלך,35.0632467,32.066777,נתיקות - הרכשה
11675,5_82,מ\לכיכר ברוקין (3 מגה)(נתיקות),LPR,חטמר אפרים,כיכר אלימלך,35.0640385,32.066654,נתיקות - הרכשה
11674,5_81,מ\לכפר א-דיק (3 מגה)(נתיקות),LPR,חטמר אפרים,כיכר אלימלך,35.0638721,32.066467,נתיקות - הרכשה
12236,195_91,הנוסעים לכיוון תפוח (9 מגה)(נתיקות),LPR,חטמר אפרים,כיכר אריאל,35.16687995,32.10889886,נתיקות - הרכשה
11298,Site66SouthFront1,נוסעים לכיוון אריאל נתיב ימני - דרומה  (קדמי),LPR,חטמר אפרים,כיכר אריאל,35.165373,32.108801,HTS - הרכשה
11299,Site66SouthFront2,נוסעים לכיוון אריאל נתיב שמאלי - דרומה (קדמי),LPR,חטמר אפרים,כיכר אריאל,35.165373,32.108801,HTS - הרכשה
11301,Site66WestFront1,נוסעים לכיוון גיתאי אבישר נתיב ימני - מערבה (קדמי),LPR,חטמר אפרים,כיכר אריאל,35.165001,32.109673,HTS - הרכשה
11302,Site66WestFront2,נוסעים לכיוון גיתאי אבישר נתיב שמאלי - מערבה (קדמי),LPR,חטמר אפרים,כיכר אריאל,35.165001,32.109673,HTS - הרכשה
11300,Site66SouthWestFront,נוסעים לכיוון חברת חשמל - דרום מערב (קדמי),LPR,חטמר אפרים,כיכר אריאל,35.16486,32.109089,HTS - הרכשה
11296,Site66EastFront,נוסעים לכיוון תפוח - מזרחה (קדמי),LPR,חטמר אפרים,כיכר אריאל,35.165969,32.108899,HTS - הרכשה
11297,Site66NorthFront,נכנסים לכיוון כיפל חארת' - צפונה (קדמי),LPR,חטמר אפרים,כיכר אריאל,35.165837,32.109632,HTS - הרכשה
11830,Site66KikarFront1,נסיעה במערב הכיכר נתיב ימני (קדמי),LPR,חטמר אפרים,כיכר אריאל,35.16501,32.10894,HTS - הרכשה
11829,Site66KikarFront2,נסיעה במערב הכיכר נתיב שמאלי (קדמי),LPR,חטמר אפרים,כיכר אריאל,35.16501,32.10894,HTS - הרכשה
9393,166_82,ציר יציאה מכפר ברוקין (5 מגה)(נתיקות),LPR,חטמר אפרים,כפר ברוקין,35.10354782,32.0898305,נתיקות - הרכשה
9394,166_81,ציר כניסה לכפר ברוקין (5 מגה)(נתיקות),LPR,חטמר אפרים,כפר ברוקין,35.10355734,32.08980671,נתיקות - הרכשה
8855,0874_92,יוצאים מקלקיליה (מערבית למוצב 422) (9 מגה)(נתיקות),LPR,חטמר אפרים,מוצב 422 (קלקיליה),34.996443,32.18792289,נתיקות - הרכשה
8854,0874_91,לכיוון מוצב 422 (2 מגה)(נתיקות),LPR,חטמר אפרים,מוצב 422 (קלקיליה),34.996443,32.18798,נתיקות - הרכשה
8983,0874_93,נכנסים לקלקיליה (מערבית למוצב 422) (9 מגה)(נתיקות),LPR,חטמר אפרים,מוצב 422 (קלקיליה),34.996443,32.18798,נתיקות - הרכשה
11397,LPR-HIK-SHY-6,קלקיליה כ. 5505 יציאה מ-י,LPR,חטמר אפרים,מוצב 422 (קלקיליה),34.996227,32.18815,משטרה - הרכשה
11396,LPR-HIK-SHY-5,קלקיליה כ. 5505 כניסה מ-י,LPR,חטמר אפרים,מוצב 422 (קלקיליה),34.996227,32.18815,משטרה - הרכשה
11781,LPR-HIK-MKZ-140,מעבר אליהו 109 מאדום,LPR,חטמר אפרים,מעבר אליהו,35.000488,32.185502,משטרה - הרכשה
11782,LPR-HIK-MKZ-7,מעבר אליהו 109 מכחול,LPR,חטמר אפרים,מעבר אליהו,34.998396,32.184362,משטרה - הרכשה
12631,LPR-HIK-MKZ-8,"מעבר אליהו 109, מכחול צילום אחורי",LPR,חטמר אפרים,מעבר אליהו,35.000488,32.185502,משטרה - הרכשה
11783,LPR-HIK-MKZ-143,מעבר חוצה שומרון 110 מאדום,LPR,חטמר אפרים,מעבר חוצה שומרון,35.009664,32.108112,משטרה - הרכשה
11784,LPR-HIK-MKZ-43,מעבר חוצה שומרון 110 מכחול,LPR,חטמר אפרים,מעבר חוצה שומרון,35.00765,32.10786,משטרה - הרכשה
12480,LPR-HIK-MKZ-252,מעבר חוצה שומרון 110 מכחול - צילום אחורי,LPR,חטמר אפרים,מעבר חוצה שומרון,35.00765,32.10786,משטרה - הרכשה
11797,LPR-HIK-MKZ-75,מעבר חשמונאים 446 מאדום,LPR,חטמר אפרים,מעבר חשמונאים,35.032443,31.94204,משטרה - הרכשה
11796,LPR-HIK-MKZ-23,מעבר חשמונאים 446 מכחול,LPR,חטמר אפרים,מעבר חשמונאים,35.03337632,31.94054149,משטרה - הרכשה
11785,LPR-HIK-MKZ-19,מעבר מכבים 443 מאדום 1+2,LPR,חטמר אפרים,מעבר מכבים,35.043621,31.896993,משטרה - הרכשה
11787,LPR-HIK-MKZ-20,מעבר מכבים 443 מאדום 3+4,LPR,חטמר אפרים,מעבר מכבים,35.043621,31.896993,משטרה - הרכשה
11790,LPR-HIK-MKZ-57,מעבר מכבים 443 מכחול,LPR,חטמר אפרים,מעבר מכבים,35.04276,31.897425,משטרה - הרכשה
12302,LPR-HIK-MKZ-13-1,מעבר צופים 107 מאדום ,LPR,חטמר אפרים,מעבר צופים,34.99948,32.19326,משטרה - הרכשה
12305,LPR-HIK-MKZ-14-2,מעבר צופים 107 מאדום צילום אחורי,LPR,חטמר אפרים,מעבר צופים,34.99948,32.19326,משטרה - הרכשה
12304,LPR-HIK-MKZ-14-1,מעבר צופים 107 מכחול ,LPR,חטמר אפרים,מעבר צופים,34.99948,32.19326,משטרה - הרכשה
12303,LPR-HIK-MKZ-13-2,מעבר צופים 107 מכחול צילום אחורי,LPR,חטמר אפרים,מעבר צופים,34.99948,32.19326,משטרה - הרכשה
11789,LPR-HIK-MKZ-3,מעבר שילה-רנטיס מאדום,LPR,חטמר אפרים,מעבר שילה-רנטיס,32.040287,35.006268,משטרה - הרכשה
11788,LPR-HIK-MKZ-2,מעבר שילה-רנטיס מכחול,LPR,חטמר אפרים,מעבר שילה-רנטיס,35.006268,32.040287,משטרה - הרכשה
12579,203_901,לכיוון המרקם חיים (3 מגה) (נתיקות),LPR,חטמר אפרים,מרקם חיים שוקבא,35.04724385,31.98061694,נתיקות - הרכשה
11666,185_81,ציר הכניסה מרנתיס (5 מגה)(נתיקות),LPR,חטמר אפרים,מתג 30 - רנתיס ,35.0132,32.0354,נתיקות - הרכשה
11667,185_82,ציר הנסיעה לכיוון בית אריה\חלמיש (5 מגה)(נתיקות),LPR,חטמר אפרים,מתג 30 - רנתיס ,35.0132,32.0354,נתיקות - הרכשה
11641,199_93,כניסה לעזון (9 מגה)(נתיקות),LPR,חטמר אפרים,נבי אליאס מזרח ,35.029773,32.184349,נתיקות - הרכשה
11643,199_91,מ\לכיוון נבי אליאס (5 מגה)(נתיקות),LPR,חטמר אפרים,נבי אליאס מזרח ,35.029773,32.184349,נתיקות - הרכשה
11642,199_92,מכיוון עזון (5 מגה)(נתיקות),LPR,חטמר אפרים,נבי אליאס מזרח ,35.029773,32.184349,נתיקות - הרכשה
11640,9187_91,ממזרח למערב (9 מגה)(נתיקות),LPR,חטמר אפרים,נבי אליאס מזרח ,35.03019,32.183328,נתיקות - הרכשה
11639,0190_91,ממערב למזרח (9 מגה)(נתיקות),LPR,חטמר אפרים,נבי אליאס מזרח ,35.031223,32.183635,נתיקות - הרכשה
9385,0166_91,לכיוון מעבר אליהו (5 מגה)(נתיקות),LPR,חטמר אפרים,נבי אליאס מערב ,35.01049,32.187153,נתיקות - הרכשה
