IshitId,ExternalCameraId,cameraType,Source,Name,IsDeleted,LastUpdateDate,folderName,siteName,brigadeName,x,y
11912,35_81,LPR,נתיקות - הרכשה,ל\מכיוון פדואל (5 מגה)(נתיקות),0,2023-09-12 16:19:08.423,"מצלמות נתיקות ","בולם 50 ",חטמר אפרים,35.040403,32.063814
11659,35_82,LPR,נתיקות - הרכשה,לכיוון דיר בלוט (5 מגה)(נתיקות),0,2023-09-12 16:18:19.998,"מצלמות נתיקות ","בולם 50 ",חטמר אפרים,35.040403,32.063814
11660,35_83,LPR,נתיקות - הרכשה,לכיוון ראפאת (5 מגה)(נתיקות),0,2023-09-12 16:18:45.821,"מצלמות נתיקות ","בולם 50 ",חטמר אפרים,35.040403,32.063814
12372,5129_91,LPR,נתיקות - הרכשה,הציר המערבי של דיר אבו משעל (5 מגה)(נתיקות),0,2024-06-06 13:34:14.742,נתיקות,בולם 6,חטמר אפרים,35.05289,31.989138
12371,5129_92,LPR,נתיקות - הרכשה,ציר מכשף דרומה (5 מגה)(נתיקות),0,2024-06-06 13:34:25.336,נתיקות,בולם 6,חטמר אפרים,35.05288983,31.98913766
12322,4116_92,LPR,נתיקות - הרכשה,כניסה ויציאה מהכפר (5 מגה)(נתיקות),0,2023-10-22 10:26:34.023,נתיקות,ג'ינספוט דרומי,חטמר אפרים,35.134424,32.179187
12321,4116_91,LPR,נתיקות - הרכשה,לכיוון עמנואל 2 כיווני נסיעה (5 מגה)(נתיקות),0,2023-10-22 10:26:25.538,נתיקות,ג'ינספוט דרומי,חטמר אפרים,35.134424,32.179187
12354,125_91,LPR,נתיקות - הרכשה,המגיעים ממזרח (9 מגה)(נתיקות),0,2023-10-22 10:27:10.766,נתיקות,ג'ינספוט מערב,חטמר אפרים,35.128498,32.184013
12336,548_92,LPR,נתיקות - הרכשה,כניסה\יציאה מג'מעאין (5 מגה)(נתיקות),0,2023-11-08 11:32:39.254,מצלמות נתיקות,ג'מעאין,חטמר אפרים,35.134424,32.179187
12323,548_91,LPR,נתיקות - הרכשה,נוסעים לכיוון אריאל\תפוח (5 מגה)(נתיקות),0,2023-10-22 10:26:46.491,מצלמות נתיקות,ג'מעאין,חטמר אפרים,35.202949,32.121854
11658,580_92,LPR,נתיקות - הרכשה,הגעה מחירבת סיר (3 מגה)(נתיקות),0,2023-08-23 21:06:54.893,"מצלמות נתיקות ",גשר אתונות (36),חטמר אפרים,35.05473,32.1831
11657,580_91,LPR,נתיקות - הרכשה,לכיוון חירבת סיר (3 מגה)(נתיקות),0,2023-08-23 21:06:49.811,"מצלמות נתיקות ",גשר אתונות (36),חטמר אפרים,35.05473,32.1831
11653,135_82,LPR,נתיקות - הרכשה,יציאה לכביש 5 מזרח (5 מגה)(נתיקות),0,2023-09-12 16:13:41.884,"מצלמות נתיקות ","גשר ברקן ",חטמר אפרים,35.1269,32.104
11654,135_81,LPR,נתיקות - הרכשה,יציאה לכביש 5 מערב (5 מגה)(נתיקות),0,2023-10-22 10:24:40.907,"מצלמות נתיקות ","גשר ברקן ",חטמר אפרים,35.1269,32.104
11644,9167_91,LPR,נתיקות - הרכשה,לכיוון מסחה (5 מגה)(נתיקות),0,2024-06-06 11:41:42.111,"מצלמות נתיקות ","גשר זאוויה ",חטמר אפרים,35.04818,32.10277
