LpId,LpTypeId,externalCameraId,x,y,Date,Hour,,,
11123203,1,LPR-HIK-JER-16,35.191218,31.800925,12/19/2023,13:51.9,,,No
1013437,1,Site66WestFront1,35.165001,32.109673,12/19/2023,11:30.8,,,No
1043388,1,LPR-HIK-MKZ-19,35.043621,31.896993,12/19/2023,04:13.9,,,No
1004134,1,LPR-HIK-JER-130-2,35.221492,31.860571,12/19/2023,20:59.0,,,No
1004134,1,LPR-HIK-JER-127,35.227695,31.862105,12/19/2023,21:56.2,,,No
10710501,1,LPR-HIK-ZFN-7,35.495444,32.400118,12/19/2023,44:21.1,,,No
1098053,1,LPR-HIK-JER-121,35.119739,31.716478,12/19/2023,46:58.7,,,No
1055532,4,9906_01,35.508154,32.370849,12/19/2023,56:48.1,,,No
1022939,1,LPR-HIK-JER-71,35.2897828,31.7841793,12/19/2023,57:10.9,,,No
1003885,1,LPR-HIK-MKZ-75,35.032443,31.94204,12/19/2023,12:43.1,,,No
1139539,1,LPR-HIK-MKZ-43,35.00765,32.10786,12/19/2023,21:40.8,,,No
1002939,1,LPR-HIK-MKZ-43,35.00765,32.10786,12/19/2023,48:09.4,,,No
1002939,1,LPR-HIK-MKZ-252,35.00765,32.10786,12/19/2023,48:09.5,,,No
1002939,1,Site65112EastFront,35.1388079,32.1090917,12/19/2023,55:46.8,,,No
1002939,1,Site65162EastRear,35.142064,32.109535,12/19/2023,56:02.3,,,No
1002939,1,Site66KikarFront2,35.16501,32.10894,12/19/2023,57:33.4,,,No
1011862,1,LPR-HIK-JER-3,35.191073,31.72583,12/19/2023,06:11.2,,,No
1002939,4,7136_901,35.256567,32.116201,12/19/2023,09:55.9,,,No
1075334,4,201_92,35.15971613,31.68576269,12/19/2023,10:24.5,,,No
1011862,4,25_91,35.155511,31.705935,12/19/2023,10:46.7,,,No
1002939,4,98_91,35.261204,32.115356,12/19/2023,12:10.0,,,No
1011862,1,LPR-HIK-JER-77,35.1227,31.7134,12/19/2023,14:07.0,,,No
1002939,4,3142_901,35.342195,32.105364,12/19/2023,16:57.2,,,No
1002939,4,3142_902,35.342195,32.105364,12/19/2023,17:02.0,,,No
