LpId,LpTypeId,externalCameraId,x,y,Date,Hour
11123203,1,LPR-HIK-JER-16,35.191218,31.800925,2023-12-19,00:13:51.942
1013437,1,Site66WestFront1,35.165001,32.109673,2023-12-19,06:11:30.812
1043388,1,LPR-HIK-MKZ-19,35.043621,31.896993,2023-12-19,07:04:13.868
1004134,1,LPR-HIK-JER-130-2,35.221492,31.860571,2023-12-19,07:20:58.974
1004134,1,LPR-HIK-JER-127,35.227695,31.862105,2023-12-19,07:21:56.247
10710501,1,LPR-HIK-ZFN-7,35.495444,32.400118,2023-12-19,07:44:21.133
1098053,1,LPR-HIK-JER-121,35.119739,31.716478,2023-12-19,07:46:58.659
1055532,4,9906_01,35.508154,32.370849,2023-12-19,07:56:48.061
1022939,1,LPR-HIK-JER-71,35.2897828,31.7841793,2023-12-19,08:57:10.901
1003885,1,LPR-HIK-MKZ-75,35.032443,31.94204,2023-12-19,11:12:43.089
1139539,1,LPR-HIK-MKZ-43,35.00765,32.10786,2023-12-19,12:21:40.789
1002939,1,LPR-HIK-MKZ-43,35.00765,32.10786,2023-12-19,12:48:09.392
1002939,1,LPR-HIK-MKZ-252,35.00765,32.10786,2023-12-19,12:48:09.531
1002939,1,Site65112EastFront,35.1388079,32.1090917,2023-12-19,12:55:46.753
1002939,1,Site65162EastRear,35.142064,32.109535,2023-12-19,12:56:02.281
1002939,1,Site66KikarFront2,35.16501,32.10894,2023-12-19,12:57:33.365
1011862,1,LPR-HIK-JER-3,35.191073,31.72583,2023-12-19,13:06:11.220
1002939,4,7136_901,35.256567,32.116201,2023-12-19,13:09:55.862
1075334,4,201_92,35.15971613,31.68576269,2023-12-19,13:10:24.544
1011862,4,25_91,35.155511,31.705935,2023-12-19,13:10:46.654
1002939,4,98_91,35.261204,32.115356,2023-12-19,13:12:09.984
1011862,1,LPR-HIK-JER-77,35.1227,31.7134,2023-12-19,13:14:07.029
1002939,4,3142_901,35.342195,32.105364,2023-12-19,13:16:57.240
1002939,4,3142_902,35.342195,32.105364,2023-12-19,13:17:01.966
1002939,4,347_91,35.348774,32.090988,2023-12-19,13:18:12.903
1002939,4,347_92,35.348774,32.090988,2023-12-19,13:18:18.828
1002939,1,Site02122EastFront2,32.074282,35.35264,2023-12-19,13:19:43.442
1002939,1,Site02133NorthRear,32.07349,35.354017,2023-12-19,13:20:19.036
1002939,4,4192_90,35.379262,32.088985,2023-12-19,13:23:40.416
10979903,1,GUSHLPR7,35.1314446187701,31.6465916460973,2023-12-19,13:26:23.064
1019852,1,LPR-HIK-JER-38,35.261584,31.783971,2023-12-19,00:04:09.798
1019852,1,LPR-HIK-JER-126,35.263757,31.783185,2023-12-19,00:04:24.224
1019852,4,136_92,35.289894,31.767723,2023-12-19,00:07:27.746
1019852,4,136_94,35.289894,31.767723,2023-12-19,00:08:06.786
1075334,1,Site46611WestFront2,35.255702,31.854076,2023-12-19,00:09:25.917
1075334,4,249_92,35.2519787,31.832347,2023-12-19,00:12:19.961
10723801,1,LPR-HIK-JER-1,35.252192,31.827897,2023-12-19,00:19:41.176
1075334,1,LPR-HIK-JER-13,35.19439,31.80083,2023-12-19,00:23:48.551
1054379,1,LPR-HIK-JER-3,35.191073,31.72583,2023-12-19,00:24:59.407
1054379,1,LPR-HIK-JER-114,35.169831,31.70624,2023-12-19,00:27:35.779
10723801,4,234_91,35.339885,31.950886,2023-12-19,00:37:53.846
1060371,1,LPR-HIK-JER-114,35.169831,31.70624,2023-12-19,02:39:44.830
1091539,1,Site46611WestFront2,35.255702,31.854076,2023-12-19,03:40:03.837
1091539,4,249_92,35.2519787,31.832347,2023-12-19,03:43:01.373
1091539,1,LPR-HIK-JER-13,35.19439,31.80083,2023-12-19,03:57:39.846
1075874,1,LPR-HIK-JER-1,35.252192,31.827897,2023-12-19,04:23:39.954
